"Remove from compare","מחק מרשימת ההשוואה"
"Italian","Italian"
"Sort By","סדר לפי"
"Custom Cms Page","Custom Cms Page"
"Cms Page Sync","Cms Page Sync"
"Password must have at least 8 letters.","הסיסמא צריכה לכלול ינימום 8 תווים"
"Confirm your order","אש הזמנה"
"Please confirm order you placed when you was offline","אנא אשר הזממנה שבוצעה בזמן היותך מנותק מהאינטרנט"
"Allow notification about the order","אשר קבלת התראות עבור ההזמנה"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Compare products","השוה מוצרים"
"Load more","טען עוד"
"Select No","בחר לא"
"Select Yes","בחר כן"
"erin_recommends_filter","Erin Recommends"
"Latest","לאחרונה"
"size","מידה"
"color","צבע"
"login","התחבר"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","טרם נרשממו תגובות. אל תהסס לכתוב לנו ממה אתה חושב"
"If you need an assistance you can drop us a line on","אם אתה צריך עזרה תוכל לרשום לנו"
"Internal Server Error 500","Internal Server Error 500"
"We've noticed Internal Server Error while rendering this request.","We've noticed Internal Server Error while rendering this request."
"Something went wrong ...","משהו השתבש..."
"This product is out of stock.","הממוצר אינו בלמאי"
"Cash on delivery","Cash on delivery"
"DPD Courier","DPD Courier"
